[{'x': 0.0078, 'y': -0.0072, 'z': 0.0992, 'w': 0.995}, {'x': -0.0309, 'y': -0.036, 'z': -0.9419}]
[{'x': 0.0178, 'y': 0.0203, 'z': 0.3, 'w': 0.9536}, {'x': 0.0009, 'y': -0.1468, 'z': -0.975}]
[{'x': 0.0199, 'y': 0.0209, 'z': 0.3037, 'w': 0.9523}, {'x': -0.0065, 'y': -0.1312, 'z': -1.0056}]
[{'x': 0.0253, 'y': 0.0198, 'z': 0.3074, 'w': 0.951}, {'x': -0.0006, 'y': -0.1571, 'z': -0.9903}]
[{'x': 0.0314, 'y': 0.0181, 'z': 0.3126, 'w': 0.9492}, {'x': 0.0126, 'y': -0.1229, 'z': -1.0838}]
[{'x': 0.0348, 'y': 0.0136, 'z': 0.3181, 'w': 0.9473}, {'x': 0.0072, 'y': -0.0321, 'z': -1.0454}]
[{'x': 0.0346, 'y': 0.0092, 'z': 0.3228, 'w': 0.9458}, {'x': 0.0018, 'y': -0.0711, 'z': -0.8331}]
[{'x': 0.0359, 'y': 0.0113, 'z': 0.3285, 'w': 0.9438}, {'x': 0.0067, 'y': -0.0223, 'z': -0.8446}]
[{'x': 0.0383, 'y': 0.0189, 'z': 0.3336, 'w': 0.9417}, {'x': -0.0147, 'y': 0.0519, 'z': -1.0751}]
[{'x': 0.0405, 'y': 0.025, 'z': 0.3363, 'w': 0.9406}, {'x': -0.0352, 'y': 0.0285, 'z': -0.9256}]
[{'x': 0.0407, 'y': 0.0298, 'z': 0.3381, 'w': 0.9398}, {'x': -0.0348, 'y': -0.0457, 'z': -0.8709}]
[{'x': 0.0414, 'y': 0.0335, 'z': 0.3407, 'w': 0.9387}, {'x': -0.0157, 'y': -0.1043, 'z': -0.8767}]
[{'x': 0.0438, 'y': 0.0346, 'z': 0.3435, 'w': 0.9375}, {'x': -0.0235, 'y': -0.138, 'z': -0.845}]
[{'x': 0.0443, 'y': 0.0336, 'z': 0.3475, 'w': 0.936}, {'x': -0.0079, 'y': -0.1097, 'z': -0.8542}]
[{'x': 0.0437, 'y': 0.0319, 'z': 0.3514, 'w': 0.9347}, {'x': -0.0187, 'y': -0.1117, 'z': -0.8757}]
[{'x': 0.0421, 'y': 0.0304, 'z': 0.3544, 'w': 0.9336}, {'x': -0.0299, 'y': -0.1151, 'z': -0.8839}]
[{'x': 0.0421, 'y': 0.031, 'z': 0.3557, 'w': 0.9332}, {'x': -0.0304, 'y': -0.181, 'z': -0.8762}]
[{'x': 0.0431, 'y': 0.0351, 'z': 0.3582, 'w': 0.932}, {'x': 0.0048, 'y': -0.1019, 'z': -1.0651}]
[{'x': 0.0444, 'y': 0.0376, 'z': 0.3603, 'w': 0.931}, {'x': 0.0321, 'y': -0.0453, 'z': -1.1523}]
[{'x': 0.0435, 'y': 0.0349, 'z': 0.3618, 'w': 0.9306}, {'x': 0.0048, 'y': -0.0365, 'z': -1.2674}]
[{'x': 0.0404, 'y': 0.0274, 'z': 0.3636, 'w': 0.9303}, {'x': -0.0055, 'y': -0.0799, 'z': -0.8829}]
[{'x': 0.0418, 'y': 0.0247, 'z': 0.3689, 'w': 0.9282}, {'x': 0.0492, 'y': -0.0955, 'z': -0.9122}]
[{'x': 0.0483, 'y': 0.0221, 'z': 0.3753, 'w': 0.9254}, {'x': 0.0677, 'y': 0.0148, 'z': -0.9644}]
[{'x': 0.0529, 'y': 0.019, 'z': 0.3814, 'w': 0.9227}, {'x': -0.0138, 'y': -0.054, 'z': -0.9088}]
[{'x': 0.0511, 'y': 0.0174, 'z': 0.3891, 'w': 0.9196}, {'x': 0.0189, 'y': -0.0457, 'z': -0.8834}]
[{'x': 0.0473, 'y': 0.0161, 'z': 0.3978, 'w': 0.9161}, {'x': 0.0531, 'y': -0.0731, 'z': -0.8235}]
[{'x': 0.0447, 'y': 0.0162, 'z': 0.4068, 'w': 0.9123}, {'x': 0.0443, 'y': -0.0994, 'z': -0.8057}]
[{'x': 0.0422, 'y': 0.0184, 'z': 0.4156, 'w': 0.9084}, {'x': 0.0419, 'y': -0.0414, 'z': -0.8906}]
[{'x': 0.0404, 'y': 0.0218, 'z': 0.4224, 'w': 0.9052}, {'x': 0.0336, 'y': -0.0453, 'z': -0.8556}]
[{'x': 0.0391, 'y': 0.0266, 'z': 0.4269, 'w': 0.903}, {'x': -0.0079, 'y': -0.0687, 'z': -1.0157}]
[{'x': 0.0393, 'y': 0.0303, 'z': 0.4285, 'w': 0.9022}, {'x': -0.0235, 'y': -0.0907, 'z': -1.0531}]
[{'x': 0.0402, 'y': 0.0337, 'z': 0.432, 'w': 0.9003}, {'x': 0.0223, 'y': -0.0877, 'z': -1.0315}]
[{'x': 0.0417, 'y': 0.0354, 'z': 0.4331, 'w': 0.8997}, {'x': 0.0487, 'y': -0.037, 'z': -0.9817}]
[{'x': 0.0435, 'y': 0.0386, 'z': 0.4341, 'w': 0.899}, {'x': -0.0094, 'y': -0.1903, 'z': -0.8192}]
[{'x': 0.0479, 'y': 0.0439, 'z': 0.4367, 'w': 0.8973}, {'x': 0.0892, 'y': 0.0475, 'z': -1.1044}]
[{'x': 0.0527, 'y': 0.0413, 'z': 0.4351, 'w': 0.8979}, {'x': -0.0294, 'y': 0.0143, 'z': -0.9745}]
[{'x': 0.0502, 'y': 0.0374, 'z': 0.4328, 'w': 0.8993}, {'x': -0.0709, 'y': -0.076, 'z': -0.7631}]
[{'x': 0.045, 'y': 0.0384, 'z': 0.4336, 'w': 0.8992}, {'x': 0.0214, 'y': -0.0706, 'z': -0.7928}]
[{'x': 0.0424, 'y': 0.0403, 'z': 0.4335, 'w': 0.8992}, {'x': 0.0443, 'y': -0.0819, 'z': -0.9122}]
[{'x': 0.0409, 'y': 0.0412, 'z': 0.4359, 'w': 0.8981}, {'x': 0.0482, 'y': -0.1004, 'z': -0.8772}]
[{'x': 0.0369, 'y': 0.0428, 'z': 0.4395, 'w': 0.8965}, {'x': 0.0467, 'y': -0.0882, 'z': -0.9011}]
[{'x': 0.0321, 'y': 0.0454, 'z': 0.4427, 'w': 0.8949}, {'x': 0.0214, 'y': -0.1405, 'z': -0.8954}]
[{'x': 0.0279, 'y': 0.0485, 'z': 0.4466, 'w': 0.893}, {'x': 0.0194, 'y': -0.1175, 'z': -0.9635}]
[{'x': 0.0255, 'y': 0.0507, 'z': 0.4533, 'w': 0.8895}, {'x': 0.038, 'y': -0.0872, 'z': -0.9428}]
[{'x': 0.0268, 'y': 0.0536, 'z': 0.4617, 'w': 0.885}, {'x': 0.0877, 'y': -0.0863, 'z': -0.9975}]
[{'x': 0.0307, 'y': 0.0562, 'z': 0.4686, 'w': 0.8811}, {'x': 0.1375, 'y': 0.0485, 'z': -1.0775}]
[{'x': 0.035, 'y': 0.057, 'z': 0.474, 'w': 0.878}, {'x': 0.0843, 'y': -0.0008, 'z': -0.9797}]
[{'x': 0.041, 'y': 0.0573, 'z': 0.4763, 'w': 0.8765}, {'x': 0.0785, 'y': 0.1017, 'z': -0.9975}]
[{'x': 0.0467, 'y': 0.0561, 'z': 0.4786, 'w': 0.875}, {'x': 0.0282, 'y': 0.0016, 'z': -1.0143}]
[{'x': 0.0485, 'y': 0.0536, 'z': 0.4808, 'w': 0.8739}, {'x': 0.0511, 'y': -0.0321, 'z': -0.8714}]
[{'x': 0.0492, 'y': 0.053, 'z': 0.4837, 'w': 0.8722}, {'x': 0.0253, 'y': -0.139, 'z': -0.8446}]
[{'x': 0.0479, 'y': 0.0524, 'z': 0.4853, 'w': 0.8714}, {'x': 0.0243, 'y': -0.1468, 'z': -0.8484}]
[{'x': 0.044, 'y': 0.0532, 'z': 0.4888, 'w': 0.8697}, {'x': 0.1126, 'y': -0.1038, 'z': -0.87}]
[{'x': 0.0417, 'y': 0.0529, 'z': 0.4913, 'w': 0.8684}, {'x': 0.096, 'y': -0.0604, 'z': -0.9093}]
[{'x': 0.0432, 'y': 0.052, 'z': 0.4935, 'w': 0.8671}, {'x': 0.0584, 'y': -0.0706, 'z': -0.9126}]
[{'x': 0.045, 'y': 0.0505, 'z': 0.4939, 'w': 0.8669}, {'x': 0.0497, 'y': -0.0702, 'z': -0.9285}]
[{'x': 0.0459, 'y': 0.0508, 'z': 0.4967, 'w': 0.8652}, {'x': 0.0858, 'y': -0.0672, 'z': -0.9615}]
[{'x': 0.0462, 'y': 0.0532, 'z': 0.5007, 'w': 0.8627}, {'x': 0.1111, 'y': -0.0384, 'z': -0.9433}]
[{'x': 0.0479, 'y': 0.0587, 'z': 0.5049, 'w': 0.8598}, {'x': 0.0999, 'y': 0.0177, 'z': -0.9821}]
[{'x': 0.0485, 'y': 0.0651, 'z': 0.5077, 'w': 0.8577}, {'x': 0.0384, 'y': -0.0316, 'z': -1.0627}]
[{'x': 0.0486, 'y': 0.0683, 'z': 0.5101, 'w': 0.856}, {'x': 0.0214, 'y': -0.0467, 'z': -1.0454}]
[{'x': 0.0489, 'y': 0.0659, 'z': 0.516, 'w': 0.8527}, {'x': -0.006, 'y': -0.1317, 'z': -0.9467}]
[{'x': 0.0481, 'y': 0.062, 'z': 0.5276, 'w': 0.8459}, {'x': 0.0794, 'y': -0.0838, 'z': -0.8657}]
[{'x': 0.0464, 'y': 0.0595, 'z': 0.5428, 'w': 0.8365}, {'x': 0.1243, 'y': -0.0994, 'z': -0.8863}]
[{'x': 0.0448, 'y': 0.0575, 'z': 0.5621, 'w': 0.8238}, {'x': 0.1165, 'y': -0.1043, 'z': -0.9304}]
[{'x': 0.0412, 'y': 0.0572, 'z': 0.5848, 'w': 0.8081}, {'x': 0.118, 'y': -0.1131, 'z': -0.9131}]
[{'x': 0.0377, 'y': 0.0573, 'z': 0.6112, 'w': 0.7885}, {'x': 0.098, 'y': -0.1038, 'z': -0.904}]
[{'x': 0.0352, 'y': 0.0582, 'z': 0.6403, 'w': 0.7651}, {'x': 0.1243, 'y': -0.0838, 'z': -0.9232}]
[{'x': 0.0327, 'y': 0.0602, 'z': 0.6702, 'w': 0.739}, {'x': 0.1107, 'y': -0.12, 'z': -0.9385}]
[{'x': 0.0301, 'y': 0.0624, 'z': 0.7005, 'w': 0.7103}, {'x': 0.1077, 'y': -0.1414, 'z': -0.9246}]
[{'x': -0.0259, 'y': -0.0653, 'z': -0.7316, 'w': -0.6781}, {'x': 0.1165, 'y': -0.1444, 'z': -0.9443}]
[{'x': -0.022, 'y': -0.0684, 'z': -0.7632, 'w': -0.6422}, {'x': 0.1546, 'y': -0.0599, 'z': -0.9356}]
[{'x': -0.0214, 'y': -0.0706, 'z': -0.793, 'w': -0.6048}, {'x': 0.1414, 'y': -0.0311, 'z': -0.962}]
