[{'x': 0.6764, 'y': -0.0866, 'z': -0.7194, 'w': -0.1325}, {'x': 0.9597, 'y': 0.0607, 'z': -0.0919}]
[{'x': 0.6763, 'y': -0.0884, 'z': -0.7155, 'w': -0.1511}, {'x': 0.9885, 'y': 0.0817, 'z': -0.0761}]
[{'x': 0.6761, 'y': -0.0886, 'z': -0.7155, 'w': -0.1523}, {'x': 0.9807, 'y': 0.0851, 'z': -0.0814}]
[{'x': 0.6756, 'y': -0.0906, 'z': -0.7153, 'w': -0.1541}, {'x': 0.9773, 'y': 0.1144, 'z': -0.1198}]
[{'x': 0.6761, 'y': -0.0923, 'z': -0.7145, 'w': -0.1546}, {'x': 0.9817, 'y': 0.1222, 'z': -0.0833}]
[{'x': 0.6763, 'y': -0.0921, 'z': -0.714, 'w': -0.156}, {'x': 1.0519, 'y': 0.0846, 'z': -0.1255}]
[{'x': 0.6788, 'y': -0.0931, 'z': -0.7105, 'w': -0.1604}, {'x': 1.0568, 'y': 0.1085, 'z': -0.1763}]
[{'x': 0.6852, 'y': -0.1068, 'z': -0.7013, 'w': -0.1651}, {'x': 0.9407, 'y': 0.1407, 'z': -0.0622}]
[{'x': 0.6904, 'y': -0.1234, 'z': -0.6928, 'w': -0.1679}, {'x': 0.8909, 'y': 0.07, 'z': -0.0915}]
[{'x': -0.6951, 'y': 0.1444, 'z': 0.684, 'w': 0.168}, {'x': 0.8182, 'y': 0.0958, 'z': 0.0044}]
[{'x': -0.6986, 'y': 0.1608, 'z': 0.677, 'w': 0.1664}, {'x': 0.8387, 'y': 0.0138, 'z': 0.0595}]
[{'x': -0.701, 'y': 0.1733, 'z': 0.6714, 'w': 0.1666}, {'x': 0.8533, 'y': -0.0414, 'z': 0.1161}]
[{'x': -0.6999, 'y': 0.1819, 'z': 0.6691, 'w': 0.1712}, {'x': 0.9373, 'y': -0.16, 'z': 0.1789}]
[{'x': -0.695, 'y': 0.1879, 'z': 0.6708, 'w': 0.1781}, {'x': 0.9968, 'y': -0.0199, 'z': -0.0018}]
[{'x': -0.6909, 'y': 0.1943, 'z': 0.6712, 'w': 0.1855}, {'x': 0.988, 'y': -0.1038, 'z': 0.0912}]
[{'x': -0.6865, 'y': 0.1965, 'z': 0.673, 'w': 0.193}, {'x': 0.989, 'y': -0.0062, 'z': 0.0432}]
[{'x': -0.6832, 'y': 0.1972, 'z': 0.6751, 'w': 0.1965}, {'x': 0.9978, 'y': -0.0321, 'z': 0.0466}]
[{'x': 0.6786, 'y': -0.195, 'z': -0.6792, 'w': -0.2001}, {'x': 0.9958, 'y': 0.0358, 'z': 0.0356}]
[{'x': 0.6713, 'y': -0.1951, 'z': -0.6851, 'w': -0.2046}, {'x': 1.0905, 'y': -0.0331, 'z': -0.1035}]
[{'x': 0.6665, 'y': -0.1922, 'z': -0.6892, 'w': -0.2095}, {'x': 1.0334, 'y': 0.0387, 'z': -0.0287}]
[{'x': 0.6659, 'y': -0.1946, 'z': -0.6874, 'w': -0.2151}, {'x': 1.1032, 'y': -0.0257, 'z': -0.1269}]
[{'x': -0.68, 'y': 0.192, 'z': 0.6737, 'w': 0.2163}, {'x': 1.0675, 'y': 0.0455, 'z': -0.1643}]
[{'x': -0.6929, 'y': 0.1997, 'z': 0.6561, 'w': 0.2227}, {'x': 1.0427, 'y': 0.1383, 'z': 0.0893}]
[{'x': -0.7013, 'y': 0.2017, 'z': 0.6457, 'w': 0.2248}, {'x': 0.9724, 'y': 0.0778, 'z': 0.1477}]
[{'x': -0.7028, 'y': 0.2074, 'z': 0.6419, 'w': 0.2257}, {'x': 1.008, 'y': 0.0553, 'z': 0.0284}]
[{'x': -0.7045, 'y': 0.2113, 'z': 0.6393, 'w': 0.2242}, {'x': 0.967, 'y': 0.0338, 'z': 0.0907}]
[{'x': -0.7059, 'y': 0.2138, 'z': 0.6373, 'w': 0.2233}, {'x': 0.968, 'y': 0.0368, 'z': 0.049}]
[{'x': -0.7061, 'y': 0.2134, 'z': 0.6372, 'w': 0.2232}, {'x': 0.9509, 'y': 0.0573, 'z': 0.0974}]
[{'x': -0.7056, 'y': 0.2123, 'z': 0.6381, 'w': 0.2231}, {'x': 0.9573, 'y': 0.0377, 'z': 0.1089}]
[{'x': -0.7052, 'y': 0.2084, 'z': 0.6402, 'w': 0.2223}, {'x': 0.9529, 'y': 0.0128, 'z': 0.0754}]
[{'x': -0.7052, 'y': 0.2038, 'z': 0.6425, 'w': 0.22}, {'x': 0.9417, 'y': 0.0758, 'z': 0.13}]
[{'x': -0.7045, 'y': 0.1988, 'z': 0.6455, 'w': 0.2178}, {'x': 0.9631, 'y': 0.0104, 'z': 0.107}]
[{'x': -0.7032, 'y': 0.1912, 'z': 0.65, 'w': 0.2156}, {'x': 0.9861, 'y': 0.0636, 'z': 0.0313}]
[{'x': -0.7041, 'y': 0.1877, 'z': 0.6512, 'w': 0.212}, {'x': 0.9885, 'y': 0.046, 'z': 0.0595}]
[{'x': -0.7047, 'y': 0.1854, 'z': 0.6525, 'w': 0.2081}, {'x': 1.0212, 'y': 0.0226, 'z': 0.0777}]
[{'x': -0.7054, 'y': 0.1853, 'z': 0.6526, 'w': 0.2053}, {'x': 0.9797, 'y': 0.0402, 'z': 0.0792}]
[{'x': -0.7057, 'y': 0.1839, 'z': 0.6537, 'w': 0.2022}, {'x': 0.9538, 'y': 0.0612, 'z': 0.1497}]
[{'x': -0.7045, 'y': 0.1805, 'z': 0.6566, 'w': 0.1997}, {'x': 1.0051, 'y': 0.0211, 'z': 0.0739}]
[{'x': -0.704, 'y': 0.175, 'z': 0.6597, 'w': 0.1961}, {'x': 0.9997, 'y': -0.0067, 'z': 0.0725}]
[{'x': -0.704, 'y': 0.1706, 'z': 0.6618, 'w': 0.1932}, {'x': 0.9802, 'y': -0.0067, 'z': 0.0998}]
[{'x': -0.7043, 'y': 0.1675, 'z': 0.6627, 'w': 0.1914}, {'x': 0.9856, 'y': 0.0827, 'z': 0.0734}]
[{'x': -0.7058, 'y': 0.1682, 'z': 0.6616, 'w': 0.1894}, {'x': 0.9846, 'y': -0.0228, 'z': 0.1099}]
[{'x': -0.7068, 'y': 0.1671, 'z': 0.6607, 'w': 0.1898}, {'x': 1.007, 'y': 0.0397, 'z': 0.0221}]
[{'x': -0.7084, 'y': 0.1683, 'z': 0.6587, 'w': 0.1898}, {'x': 0.9295, 'y': 0.0514, 'z': 0.1516}]
[{'x': -0.7084, 'y': 0.1664, 'z': 0.6592, 'w': 0.1898}, {'x': 0.9626, 'y': 0.0465, 'z': 0.1362}]
[{'x': -0.7064, 'y': 0.1658, 'z': 0.6618, 'w': 0.1887}, {'x': 0.9739, 'y': 0.0016, 'z': 0.1324}]
[{'x': -0.7045, 'y': 0.1649, 'z': 0.6643, 'w': 0.1876}, {'x': 0.9714, 'y': 0.0436, 'z': 0.1041}]
[{'x': -0.7038, 'y': 0.1669, 'z': 0.6643, 'w': 0.1888}, {'x': 0.9763, 'y': 0.0651, 'z': 0.0931}]
[{'x': -0.704, 'y': 0.1691, 'z': 0.6633, 'w': 0.1893}, {'x': 0.9909, 'y': 0.0299, 'z': 0.1492}]
[{'x': -0.703, 'y': 0.1721, 'z': 0.663, 'w': 0.1913}, {'x': 0.9978, 'y': 0.0656, 'z': 0.0706}]
[{'x': -0.7025, 'y': 0.1762, 'z': 0.662, 'w': 0.1929}, {'x': 1.0363, 'y': -0.0028, 'z': 0.0907}]
[{'x': -0.7042, 'y': 0.1764, 'z': 0.6597, 'w': 0.1945}, {'x': 0.9836, 'y': 0.0817, 'z': 0.1032}]
[{'x': -0.7054, 'y': 0.1774, 'z': 0.6577, 'w': 0.1958}, {'x': 1.0236, 'y': 0.0675, 'z': 0.0236}]
[{'x': -0.7066, 'y': 0.1808, 'z': 0.6551, 'w': 0.1972}, {'x': 0.9485, 'y': 0.048, 'z': 0.06}]
[{'x': -0.705, 'y': 0.1825, 'z': 0.6552, 'w': 0.2009}, {'x': 1.0139, 'y': 0.0504, 'z': -0.009}]
[{'x': -0.7039, 'y': 0.1812, 'z': 0.6552, 'w': 0.2057}, {'x': 0.9685, 'y': 0.0192, 'z': 0.0097}]
[{'x': -0.7024, 'y': 0.1794, 'z': 0.6554, 'w': 0.2119}, {'x': 0.9797, 'y': 0.0441, 'z': 0.0365}]
[{'x': -0.7011, 'y': 0.1766, 'z': 0.6563, 'w': 0.2157}, {'x': 0.9885, 'y': 0.0514, 'z': 0.0197}]
[{'x': -0.7002, 'y': 0.1742, 'z': 0.6576, 'w': 0.2168}, {'x': 0.9768, 'y': 0.0602, 'z': 0.0159}]
[{'x': -0.7004, 'y': 0.1733, 'z': 0.6573, 'w': 0.2176}, {'x': 0.9943, 'y': 0.0504, 'z': 0.0135}]
[{'x': -0.7022, 'y': 0.1727, 'z': 0.6556, 'w': 0.2175}, {'x': 0.9417, 'y': 0.0485, 'z': 0.1012}]
[{'x': -0.7035, 'y': 0.1723, 'z': 0.6546, 'w': 0.2166}, {'x': 0.9621, 'y': 0.0685, 'z': 0.0586}]
[{'x': -0.7056, 'y': 0.1712, 'z': 0.6535, 'w': 0.2137}, {'x': 0.9651, 'y': 0.025, 'z': 0.1228}]
[{'x': -0.7058, 'y': 0.1689, 'z': 0.6548, 'w': 0.2109}, {'x': 1.009, 'y': 0.0753, 'z': 0.0792}]
[{'x': -0.707, 'y': 0.1697, 'z': 0.6543, 'w': 0.208}, {'x': 1.0178, 'y': 0.0319, 'z': 0.1161}]
[{'x': -0.708, 'y': 0.1713, 'z': 0.6536, 'w': 0.2054}, {'x': 0.9836, 'y': 0.048, 'z': 0.108}]
[{'x': -0.7094, 'y': 0.1749, 'z': 0.6521, 'w': 0.2023}, {'x': 0.9626, 'y': 0.028, 'z': 0.1089}]
[{'x': -0.7115, 'y': 0.1779, 'z': 0.6499, 'w': 0.1994}, {'x': 0.909, 'y': 0.0475, 'z': 0.1276}]
[{'x': -0.7118, 'y': 0.1753, 'z': 0.6509, 'w': 0.1971}, {'x': 0.9656, 'y': 0.0831, 'z': 0.0365}]
[{'x': -0.7127, 'y': 0.1708, 'z': 0.6519, 'w': 0.1948}, {'x': 1.0105, 'y': 0.0851, 'z': 0.0581}]
[{'x': -0.7124, 'y': 0.1667, 'z': 0.6532, 'w': 0.1951}, {'x': 1.0549, 'y': 0.0968, 'z': 0.0255}]
[{'x': -0.7124, 'y': 0.1649, 'z': 0.6536, 'w': 0.1953}, {'x': 1.047, 'y': 0.0133, 'z': -0.0143}]
[{'x': -0.7153, 'y': 0.1641, 'z': 0.6515, 'w': 0.1921}, {'x': 0.9348, 'y': 0.0612, 'z': 0.1027}]
[{'x': -0.7175, 'y': 0.1616, 'z': 0.6505, 'w': 0.1898}, {'x': 0.9251, 'y': 0.0729, 'z': 0.0768}]
[{'x': -0.719, 'y': 0.1552, 'z': 0.6508, 'w': 0.1878}, {'x': 0.8899, 'y': 0.1168, 'z': 0.0936}]
[{'x': -0.7192, 'y': 0.1477, 'z': 0.6533, 'w': 0.185}, {'x': 0.9334, 'y': 0.0685, 'z': 0.0739}]
[{'x': -0.7179, 'y': 0.1408, 'z': 0.6569, 'w': 0.1822}, {'x': 0.968, 'y': 0.0836, 'z': 0.0643}]
[{'x': -0.7158, 'y': 0.1356, 'z': 0.6606, 'w': 0.1812}, {'x': 0.9885, 'y': 0.091, 'z': 0.0231}]
[{'x': -0.7145, 'y': 0.1327, 'z': 0.6627, 'w': 0.1808}, {'x': 0.949, 'y': 0.0597, 'z': 0.1242}]
[{'x': -0.7138, 'y': 0.1314, 'z': 0.6639, 'w': 0.1803}, {'x': 0.9582, 'y': 0.0621, 'z': 0.1118}]
[{'x': -0.7133, 'y': 0.1301, 'z': 0.6648, 'w': 0.1798}, {'x': 0.989, 'y': 0.0802, 'z': 0.0926}]
[{'x': -0.7137, 'y': 0.1298, 'z': 0.6645, 'w': 0.1793}, {'x': 1.0519, 'y': 0.0573, 'z': 0.0485}]
[{'x': -0.7161, 'y': 0.1294, 'z': 0.6624, 'w': 0.1782}, {'x': 1.1359, 'y': 0.0729, 'z': 0.119}]
[{'x': -0.7201, 'y': 0.1354, 'z': 0.656, 'w': 0.1812}, {'x': 1.0046, 'y': 0.0763, 'z': 0.1262}]
[{'x': -0.7214, 'y': 0.1418, 'z': 0.6517, 'w': 0.1864}, {'x': 1.0105, 'y': 0.1822, 'z': 0.0245}]
[{'x': -0.7198, 'y': 0.1511, 'z': 0.6505, 'w': 0.1896}, {'x': 0.9782, 'y': 0.0831, 'z': 0.0058}]
[{'x': -0.7174, 'y': 0.1527, 'z': 0.6522, 'w': 0.1914}, {'x': 0.9607, 'y': 0.0695, 'z': 0.036}]
[{'x': -0.7164, 'y': 0.1535, 'z': 0.6524, 'w': 0.1941}, {'x': 0.9465, 'y': 0.0831, 'z': 0.061}]
[{'x': -0.7147, 'y': 0.1511, 'z': 0.6546, 'w': 0.1944}, {'x': 0.9792, 'y': 0.0719, 'z': 0.0408}]
[{'x': -0.7141, 'y': 0.1477, 'z': 0.6571, 'w': 0.1912}, {'x': 0.928, 'y': 0.0563, 'z': 0.1012}]
[{'x': -0.7135, 'y': 0.1434, 'z': 0.6594, 'w': 0.1886}, {'x': 0.9973, 'y': 0.0304, 'z': -0.0258}]
[{'x': -0.7153, 'y': 0.1425, 'z': 0.6583, 'w': 0.1864}, {'x': 0.9397, 'y': 0.0626, 'z': 0.0586}]
[{'x': -0.7167, 'y': 0.1429, 'z': 0.6571, 'w': 0.1848}, {'x': 0.9538, 'y': -0.1107, 'z': 0.0284}]
[{'x': -0.7171, 'y': 0.1466, 'z': 0.656, 'w': 0.1842}, {'x': 0.9392, 'y': 0.0099, 'z': 0.1717}]
[{'x': -0.7167, 'y': 0.1497, 'z': 0.6571, 'w': 0.1793}, {'x': 0.9607, 'y': 0.1051, 'z': 0.1343}]
[{'x': -0.7186, 'y': 0.1482, 'z': 0.657, 'w': 0.1734}, {'x': 1.0324, 'y': 0.0026, 'z': 0.1032}]
[{'x': -0.7209, 'y': 0.1451, 'z': 0.6561, 'w': 0.1697}, {'x': 1.0339, 'y': 0.029, 'z': 0.0893}]
[{'x': -0.7252, 'y': 0.1412, 'z': 0.653, 'w': 0.1665}, {'x': 0.9573, 'y': 0.0934, 'z': 0.1151}]
[{'x': -0.7289, 'y': 0.1342, 'z': 0.6514, 'w': 0.1621}, {'x': 1.0114, 'y': 0.0997, 'z': 0.037}]
[{'x': -0.7293, 'y': 0.1233, 'z': 0.6539, 'w': 0.1593}, {'x': 0.9773, 'y': 0.1637, 'z': -0.0435}]
[{'x': -0.7296, 'y': 0.1167, 'z': 0.6556, 'w': 0.1558}, {'x': 0.9729, 'y': 0.0582, 'z': 0.0006}]
[{'x': -0.7299, 'y': 0.1175, 'z': 0.6555, 'w': 0.1543}, {'x': 0.9051, 'y': 0.0407, 'z': 0.0859}]
[{'x': -0.7293, 'y': 0.1179, 'z': 0.6566, 'w': 0.1523}, {'x': 0.9221, 'y': 0.0236, 'z': 0.072}]
[{'x': -0.7267, 'y': 0.1189, 'z': 0.6596, 'w': 0.1505}, {'x': 0.9358, 'y': 0.0348, 'z': 0.0768}]
[{'x': -0.7233, 'y': 0.1177, 'z': 0.6638, 'w': 0.1496}, {'x': 1.0158, 'y': 0.0211, 'z': -0.0498}]
[{'x': -0.7231, 'y': 0.1184, 'z': 0.6636, 'w': 0.1509}, {'x': 0.9246, 'y': 0.0573, 'z': 0.0667}]
[{'x': -0.7231, 'y': 0.1215, 'z': 0.6624, 'w': 0.1536}, {'x': 0.9373, 'y': 0.047, 'z': 0.084}]
[{'x': -0.7223, 'y': 0.1255, 'z': 0.6618, 'w': 0.1568}, {'x': 0.9436, 'y': 0.0817, 'z': 0.1123}]
[{'x': -0.7206, 'y': 0.1287, 'z': 0.6627, 'w': 0.158}, {'x': 0.9851, 'y': 0.0495, 'z': 0.1525}]
[{'x': -0.7191, 'y': 0.1307, 'z': 0.6639, 'w': 0.1584}, {'x': 1.1032, 'y': 0.0768, 'z': 0.049}]
[{'x': -0.7208, 'y': 0.1337, 'z': 0.6619, 'w': 0.1566}, {'x': 1.0056, 'y': 0.0734, 'z': 0.1741}]
[{'x': -0.7212, 'y': 0.1366, 'z': 0.6613, 'w': 0.1548}, {'x': 1.0588, 'y': 0.0104, 'z': 0.0758}]
[{'x': -0.7189, 'y': 0.1382, 'z': 0.6631, 'w': 0.1559}, {'x': 1.0373, 'y': 0.0939, 'z': -0.0066}]
[{'x': -0.7158, 'y': 0.1371, 'z': 0.6668, 'w': 0.1558}, {'x': 1.027, 'y': 0.0304, 'z': -0.0464}]
[{'x': -0.715, 'y': 0.1358, 'z': 0.6678, 'w': 0.156}, {'x': 0.9685, 'y': 0.0436, 'z': -0.0215}]
[{'x': -0.7128, 'y': 0.1348, 'z': 0.6696, 'w': 0.1592}, {'x': 0.969, 'y': 0.0524, 'z': -0.0584}]
[{'x': -0.7121, 'y': 0.1353, 'z': 0.67, 'w': 0.1603}, {'x': 0.9094, 'y': 0.0631, 'z': 0.0466}]
[{'x': -0.7103, 'y': 0.1355, 'z': 0.6715, 'w': 0.1615}, {'x': 0.907, 'y': 0.0455, 'z': 0.0643}]
[{'x': -0.708, 'y': 0.1343, 'z': 0.6739, 'w': 0.1629}, {'x': 0.946, 'y': 0.069, 'z': -0.0047}]
[{'x': -0.7065, 'y': 0.132, 'z': 0.6758, 'w': 0.1634}, {'x': 0.9343, 'y': 0.0495, 'z': 0.0394}]
[{'x': -0.7061, 'y': 0.1294, 'z': 0.677, 'w': 0.1623}, {'x': 0.9734, 'y': 0.0646, 'z': 0.0495}]
[{'x': -0.7075, 'y': 0.1257, 'z': 0.6767, 'w': 0.1604}, {'x': 0.9338, 'y': 0.1046, 'z': 0.0835}]
[{'x': -0.709, 'y': 0.1218, 'z': 0.6771, 'w': 0.1551}, {'x': 0.988, 'y': 0.0768, 'z': 0.0432}]
[{'x': -0.7136, 'y': 0.1193, 'z': 0.6743, 'w': 0.1479}, {'x': 0.9412, 'y': 0.0187, 'z': 0.1257}]
[{'x': -0.7182, 'y': 0.1155, 'z': 0.6717, 'w': 0.1402}, {'x': 0.966, 'y': 0.0128, 'z': 0.1247}]
[{'x': -0.7234, 'y': 0.1085, 'z': 0.6687, 'w': 0.133}, {'x': 0.949, 'y': 0.1198, 'z': 0.0499}]
[{'x': -0.7235, 'y': 0.1041, 'z': 0.6696, 'w': 0.1319}, {'x': 1.0915, 'y': 0.0709, 'z': -0.0435}]
[{'x': -0.7205, 'y': 0.1008, 'z': 0.673, 'w': 0.1332}, {'x': 1.0012, 'y': 0.1407, 'z': 0.0025}]
[{'x': -0.715, 'y': 0.104, 'z': 0.6787, 'w': 0.132}, {'x': 1.0773, 'y': 0.1202, 'z': 0.0169}]
[{'x': -0.7099, 'y': 0.1093, 'z': 0.6837, 'w': 0.1288}, {'x': 1.028, 'y': 0.0084, 'z': 0.0519}]
[{'x': -0.7074, 'y': 0.1101, 'z': 0.6869, 'w': 0.1251}, {'x': 1.0183, 'y': 0.0177, 'z': -0.0536}]
[{'x': -0.7069, 'y': 0.107, 'z': 0.6882, 'w': 0.1237}, {'x': 0.9568, 'y': 0.0382, 'z': -0.0105}]
[{'x': -0.7071, 'y': 0.1039, 'z': 0.6885, 'w': 0.1229}, {'x': 0.9548, 'y': 0.067, 'z': 0.0581}]
[{'x': -0.708, 'y': 0.1006, 'z': 0.6885, 'w': 0.1211}, {'x': 0.9563, 'y': 0.0617, 'z': 0.0236}]
[{'x': -0.7106, 'y': 0.0995, 'z': 0.6862, 'w': 0.1194}, {'x': 0.9553, 'y': 0.0495, 'z': 0.083}]
[{'x': -0.7124, 'y': 0.0997, 'z': 0.6842, 'w': 0.1199}, {'x': 0.967, 'y': 0.0617, 'z': 0.0744}]
[{'x': -0.7159, 'y': 0.1026, 'z': 0.6801, 'w': 0.1199}, {'x': 0.9524, 'y': 0.0587, 'z': 0.1094}]
[{'x': -0.7184, 'y': 0.1027, 'z': 0.6777, 'w': 0.1185}, {'x': 1.0051, 'y': 0.0783, 'z': 0.0313}]
[{'x': -0.7212, 'y': 0.1036, 'z': 0.6751, 'w': 0.1158}, {'x': 0.9621, 'y': 0.047, 'z': 0.073}]
[{'x': -0.7198, 'y': 0.1057, 'z': 0.676, 'w': 0.1171}, {'x': 1.0505, 'y': 0.0734, 'z': -0.0172}]
[{'x': -0.7197, 'y': 0.1091, 'z': 0.6752, 'w': 0.1197}, {'x': 0.9948, 'y': 0.0265, 'z': -0.0071}]
[{'x': -0.7196, 'y': 0.1133, 'z': 0.6737, 'w': 0.1244}, {'x': 0.9929, 'y': 0.0446, 'z': -0.0109}]
[{'x': -0.72, 'y': 0.1147, 'z': 0.6722, 'w': 0.1287}, {'x': 0.9836, 'y': -0.0057, 'z': -0.0162}]
[{'x': -0.7188, 'y': 0.1124, 'z': 0.6735, 'w': 0.1306}, {'x': 0.9719, 'y': 0.0314, 'z': -0.0411}]
[{'x': -0.7176, 'y': 0.1116, 'z': 0.6749, 'w': 0.1311}, {'x': 0.9802, 'y': -0.0155, 'z': 0.0121}]
[{'x': -0.716, 'y': 0.1095, 'z': 0.6763, 'w': 0.1342}, {'x': 0.9348, 'y': 0.0416, 'z': -0.0081}]
[{'x': -0.714, 'y': 0.108, 'z': 0.6783, 'w': 0.1361}, {'x': 0.968, 'y': 0.0148, 'z': -0.0085}]
[{'x': -0.7117, 'y': 0.103, 'z': 0.6814, 'w': 0.1365}, {'x': 0.946, 'y': -0.0189, 'z': 0.0912}]
[{'x': -0.7111, 'y': 0.0992, 'z': 0.6836, 'w': 0.1313}, {'x': 1.0339, 'y': 0.0236, 'z': 0.0221}]
[{'x': -0.714, 'y': 0.0976, 'z': 0.6816, 'w': 0.1266}, {'x': 0.9787, 'y': 0.0153, 'z': 0.1257}]
[{'x': -0.7174, 'y': 0.0958, 'z': 0.679, 'w': 0.123}, {'x': 1.0573, 'y': 0.0236, 'z': 0.0231}]
[{'x': -0.7222, 'y': 0.0971, 'z': 0.6743, 'w': 0.1198}, {'x': 1.0373, 'y': 0.0246, 'z': 0.072}]
[{'x': -0.7254, 'y': 0.0987, 'z': 0.6711, 'w': 0.1171}, {'x': 1.0851, 'y': 0.0407, 'z': -0.0421}]
[{'x': -0.7281, 'y': 0.0992, 'z': 0.6681, 'w': 0.1168}, {'x': 0.9046, 'y': 0.0861, 'z': 0.0509}]
[{'x': -0.7272, 'y': 0.0992, 'z': 0.6688, 'w': 0.1188}, {'x': 0.9163, 'y': 0.0866, 'z': -0.0124}]
[{'x': -0.7248, 'y': 0.0992, 'z': 0.6711, 'w': 0.1202}, {'x': 0.9158, 'y': 0.0817, 'z': 0.0662}]
[{'x': -0.7195, 'y': 0.0943, 'z': 0.6774, 'w': 0.1202}, {'x': 0.9656, 'y': 0.0773, 'z': -0.0047}]
[{'x': -0.716, 'y': 0.09, 'z': 0.682, 'w': 0.1187}, {'x': 0.9846, 'y': 0.0368, 'z': 0.0346}]
[{'x': -0.7138, 'y': 0.0867, 'z': 0.6849, 'w': 0.1177}, {'x': 0.989, 'y': 0.0211, 'z': 0.0164}]
[{'x': -0.7134, 'y': 0.0876, 'z': 0.685, 'w': 0.1188}, {'x': 0.9646, 'y': 0.0558, 'z': 0.0365}]
[{'x': -0.7138, 'y': 0.09, 'z': 0.6838, 'w': 0.1218}, {'x': 0.9251, 'y': 0.0929, 'z': 0.1084}]
[{'x': -0.7144, 'y': 0.0914, 'z': 0.6825, 'w': 0.1242}, {'x': 0.9251, 'y': 0.0841, 'z': 0.0825}]
[{'x': -0.7166, 'y': 0.0905, 'z': 0.68, 'w': 0.1265}, {'x': 0.8909, 'y': 0.0973, 'z': 0.1334}]
[{'x': -0.7177, 'y': 0.0888, 'z': 0.6786, 'w': 0.1284}, {'x': 0.9753, 'y': 0.0763, 'z': 0.0456}]
[{'x': -0.7198, 'y': 0.0888, 'z': 0.6764, 'w': 0.1284}, {'x': 1.0148, 'y': 0.0885, 'z': 0.038}]
[{'x': -0.723, 'y': 0.0889, 'z': 0.6734, 'w': 0.1261}, {'x': 1.0178, 'y': 0.0163, 'z': 0.1329}]
[{'x': -0.7206, 'y': 0.0924, 'z': 0.6755, 'w': 0.1261}, {'x': 1.0993, 'y': -0.0179, 'z': 0.0001}]
[{'x': -0.7172, 'y': 0.0932, 'z': 0.6792, 'w': 0.1249}, {'x': 1.0305, 'y': 0.0114, 'z': -0.0411}]
[{'x': -0.7137, 'y': 0.0936, 'z': 0.6824, 'w': 0.1275}, {'x': 1.0573, 'y': 0.0534, 'z': -0.0541}]
[{'x': -0.7132, 'y': 0.0954, 'z': 0.682, 'w': 0.1309}, {'x': 0.9695, 'y': 0.0573, 'z': 0.0538}]
[{'x': -0.7114, 'y': 0.0993, 'z': 0.6826, 'w': 0.1345}, {'x': 0.946, 'y': 0.0905, 'z': -0.0258}]
[{'x': -0.7083, 'y': 0.104, 'z': 0.6847, 'w': 0.1364}, {'x': 0.9421, 'y': 0.0709, 'z': -0.0071}]
[{'x': -0.704, 'y': 0.107, 'z': 0.6883, 'w': 0.1388}, {'x': 0.9924, 'y': 0.0299, 'z': -0.0416}]
[{'x': -0.7021, 'y': 0.1067, 'z': 0.6899, 'w': 0.1407}, {'x': 0.9748, 'y': 0.0602, 'z': 0.014}]
[{'x': -0.7019, 'y': 0.1068, 'z': 0.6896, 'w': 0.1426}, {'x': 0.9763, 'y': 0.0524, 'z': 0.026}]
[{'x': -0.7023, 'y': 0.108, 'z': 0.6885, 'w': 0.1451}, {'x': 0.9641, 'y': 0.0553, 'z': 0.0332}]
[{'x': -0.7041, 'y': 0.1091, 'z': 0.6864, 'w': 0.1454}, {'x': 0.9329, 'y': 0.0646, 'z': 0.0677}]
